"filename", "language", "YAML", "Dart", "Markdown", "ApexLog", "C++", "XML", "JSON", "Swift", "HTML", "Gradle", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\sign_up_centre_panel_cubit.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\sign_up_centre_panel_state.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\table_filter_panel_cubit.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\table_filter_panel_state.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\tables_download_cubit.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\tables_download_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\home_page_cubit.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\home_page_state.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_correction_panel_cubit.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 96
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_correction_panel_state.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_list_panel_cubit.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 65
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_list_panel_state.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_picker_cubit.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_picker_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_story_to_patient_cubit.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 155
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_story_to_patient_state.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_table_to_patient_cubit.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 138
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_table_to_patient_state.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\multimedia_content_screen_cubit.dart", "Dart", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35, 223
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\multimedia_content_screen_state.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\open_voce_caa_tables_cubit.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\open_voce_caa_tables_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\open_voce_pictograms_cubit.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\open_voce_pictograms_state.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\operator_communication_cubit.dart", "Dart", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 226
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\operator_communication_state.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_communication_cubit.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 162
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_communication_state.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_screen_cubit.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_screen_state.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patients_cubit.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 29
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patients_state.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
